Subject,SID,Exclude,Age,ConditionOrder,Condition,Trial,FirstBag,FirstUtterance,SecondUtterance,Labeled Name,FirstBagLook,FirstChoice,SecondBagLook,FirstToyRemove,SecondToyRemove,LeftToy,RightToy,LeftToyTotalTime,RightToyTotalTime
90,050819_1,N,5.02739726,HUI,Interrupted,3,right,label,interrupted,bosa,right,label,left,right,left,I,B,,
91,050819_2,N,5.093150685,UIH,Unknown,1,left,dont_know,label,gazzer,right,label,left,right,right,G,E,,
91,050819_2,N,5.093150685,UIH,Interrupted,2,right,label,interrupted,modi,right,label,left,right,left,A,F,,
91,050819_2,N,5.093150685,UIH,Huh,3,right,huh,label,stigson,right,huh,left,right,left,B,H,,
92,051519_1,Y: too young,4.920547945,UIH,,,,,,,,,,,,,,,
93,051919_1,N,4.967123288,HUI,Huh,1,right,huh,label,jeeter,right,huh,left,right,left,F,B,,
93,051919_1,N,4.967123288,HUI,Unknown,2,left,dont_know,label,gazzer,left,dont_know,right,left,right,A,I,,
93,051919_1,N,4.967123288,HUI,Interrupted,3,right,label,interrupted,regli,left,interrupted,right,left,right,D,G,,
94,051919_2,Y: too old,6.019178082,UIH,,,,,,,,,,,,,,,
95,051919_3,N,5.621917808,IHU,Interrupted,1,left,interrupted,label,modi,right,label,left,right,left,B,F,,
95,051919_3,N,5.621917808,IHU,Huh,2,left,label,huh,collit,right,huh,left,right,left,G,D,,
95,051919_3,N,5.621917808,IHU,Unknown,3,right,dont_know,label,jeeter,right,dont_know,left,right,left,A,I,,
96,051919_4,N,5.871232877,IUH,Interrupted,1,left,label,interrupted,manu,left,label,right,left,right,E,G,,
96,051919_4,N,5.871232877,IUH,Unknown,2,right,dont_know,label,gazzer,right,dont_know,left,right,left,H,F,,
96,051919_4,N,5.871232877,IUH,Huh,3,left,label,huh,bosa,right,huh,left,right,left,B,D,,
97,051919_5,Y: too old,6.471232877,UHI,,,,,,,,,,,,,,,
98,051919_6,N,5,UHI,Unknown,1,left,label,dont_know,gazzer,right,dont_know,left,right,left,D,G,,
98,051919_6,N,5,UHI,Huh,2,right,huh,label,bosa,left,label,right,left,right,A,E,,
98,051919_6,N,5,UHI,Interrupted,3,right,interrupted,label,manu,left,label,right,left,right,F,I,,
99,051919_7,Y: experimenter error,5.101369863,UIH,Unknown,1,,label,dont_know,jeeter,,,,,,,,,
99,051919_7,Y: experimenter error,5.101369863,UIH,Interrupted,2,,interrupted,label,manu,,,,,,,,,
